"","title","author","subject","abstract","meta"
"78","Graphical Principal Component Analysis of Multivariate Functional Time Series","Jianbin Tan, Decai Liang, Yongtao Guan, Hui Huang","Methodology (stat.ME)","In this paper, we consider multivariate functional time series with a two-way dependence structure: a serial dependence across time points and a graphical interaction among the multiple functions within each time point. We develop the notion of dynamic weak separability, a more general condition than those assumed in literature, and use it to characterize the two-way structure in multivariate functional time series. Based on the proposed weak separability, we develop a unified framework for functional graphical models and dynamic principal component analysis, and further extend it to optimally reconstruct signals from contaminated functional data using graphical-level information. We investigate asymptotic properties of the resulting estimators and illustrate the effectiveness of our proposed approach through extensive simulations. We apply our method to hourly air pollution data that were collected from a monitoring network in China.","Sat, 13 Jan 2024 06:22:07 UTC (468 KB)"
"79","Causally Aware Generative Adversarial Networks for Light Pollution Control","Yuyao Zhang, Ke Guo, Xiao Zhou","Computers and Society (cs.CY)","Artificial light plays an integral role in modern cities, significantly enhancing human productivity and the efficiency of civilization. However, excessive illumination can lead to light pollution, posing non-negligible threats to economic burdens, ecosystems, and human health. Despite its critical importance, the exploration of its causes remains relatively limited within the field of artificial intelligence, leaving an incomplete understanding of the factors contributing to light pollution and sustainable illumination planning distant. To address this gap, we introduce a novel framework named Causally Aware Generative Adversarial Networks (CAGAN). This innovative approach aims to uncover the fundamental drivers of light pollution within cities and offer intelligent solutions for optimal illumination resource allocation in the context of sustainable urban development. We commence by examining light pollution across 33,593 residential areas in seven global metropolises. Our findings reveal substantial influences on light pollution levels from various building types, notably grasslands, commercial centers and residential buildings as significant contributors. These discovered causal relationships are seamlessly integrated into the generative modeling framework, guiding the process of generating light pollution maps for diverse residential areas. Extensive experiments showcase CAGAN's potential to inform and guide the implementation of effective strategies to mitigate light pollution. Our code and data are publicly available at this https URL.","Fri, 12 Jan 2024 08:57:20 UTC (3,890 KB)"
"80","UDEEP: Edge-based Computer Vision for In-Situ Underwater Crayfish and Plastic Detection","Dennis Monari, Jack Larkin, Pedro Machado, Jordan J. Bird, Isibor Kennedy Ihianle, Salisu Wada Yahaya, Farhad Fassihi Tash, Md Mahmudul Hasan, Ahmad Lotfi","Computer Vision and Pattern Recognition (cs.CV)","Invasive signal crayfish have a detrimental impact on ecosystems. They spread the fungal-type crayfish plague disease (Aphanomyces astaci) that is lethal to the native white clawed crayfish, the only native crayfish species in Britain. Invasive signal crayfish extensively burrow, causing habitat destruction, erosion of river banks and adverse changes in water quality, while also competing with native species for resources and leading to declines in native populations. Moreover, pollution exacerbates the vulnerability of White-clawed crayfish, with their populations declining by over 90% in certain English counties, making them highly susceptible to extinction. To safeguard aquatic ecosystems, it is imperative to address the challenges posed by invasive species and discarded plastics in the United Kingdom's river ecosystem's. The UDEEP platform can play a crucial role in environmental monitoring by performing on-the-fly classification of Signal crayfish and plastic debris while leveraging the efficacy of AI, IoT devices and the power of edge computing (i.e., NJN). By providing accurate data on the presence, spread and abundance of these species, the UDEEP platform can contribute to monitoring efforts and aid in mitigating the spread of invasive species.","Thu, 21 Dec 2023 16:03:59 UTC (9,466 KB)"
"81","On the fast computation of the observer motion effects induced on monopole frequency spectra for tabulated functions","Tiziana Trombetti, Carlo Burigana, Marco Tucci, Luigi Toffolatti","Cosmology and Nongalactic Astrophysics (astro-ph.CO)","Methods are studied to compute the boosting effects produced by the observer motion that modifies and transfers to higher l the isotropic monopole frequency spectrum of the cosmic background. Explicit analytical solutions for spherical harmonic coefficients are presented and applied to various background spectra, alleviating computational effort. High l frequency spectra are led by higher order derivatives of the spectrum. Tabulated frequency spectra are computed with a relatively poor frequency resolution in comparison with the Doppler shift, calling for interpolation. They are affected by uncertainties due to intrinsic inaccuracies in modelling, observational data or limited computation accuracy, propagate and increase with the derivative order, possibly preventing a trustworthy computation to higher l and of the observed monopole. We filter the original function and the multipole spectra to derive reliable predictions of the harmonic coefficients. For spectra expressed in Taylor series, we derive explicit solutions for the harmonic coefficients up to l=6 in terms of spectra derivatives. We consider filters and study the quality of these methods on suitable analytical approximations, polluted with simulated noise. We consider the extragalactic sources microwave background from radio loud AGN and the 21cm line superimposed to the CMB. Gaussian pre-filtering coupled to a real space filtering of derivatives allows accurate predictions up to l=6, while log-log polynomial representation gives accurate solutions at any l. Describing the 21 cm model variety is difficult, so it is relevant to relax assumptions. Pre-filtering gives accurate predictions up to l=3-4, while further filtering or boosting amplification/deamplification method improves the results allowing reasonable estimations. The methods can extend the range of realistic background models manageable with a fast computation.","Wed, 10 Jan 2024 14:56:06 UTC (435 KB)"
"82","Exploring Attack Resilience in Distributed Platoon Controllers with Model Predictive Control","Tashfique Hasnine Choudhury","Systems and Control (eess.SY)","The extensive use of distributed vehicle platoon controllers has resulted in several benefits for transportation systems, such as increased traffic flow, fuel efficiency, and decreased pollution. The rising reliance on interconnected systems and communication networks, on the other hand, exposes these controllers to potential cyber-attacks, which may compromise their safety and functionality. This thesis aims to improve the security of distributed vehicle platoon controllers by investigating attack scenarios and assessing their influence on system performance. Various attack techniques, including man-in-the-middle (MITM) and false data injection (FDI), are simulated using Model Predictive Control (MPC) controller to identify vulnerabilities and weaknesses of the platoon controller. Countermeasures are offered and tested, that includes attack analysis and reinforced communication protocols using Machine Learning techniques for detection. The findings emphasize the significance of integrating security issues into their design and implementation, which helps to construct safe and resilient distributed platoon controllers.","Mon, 8 Jan 2024 20:27:16 UTC (1,329 KB)"
"83","Air Quality Forecasting Using Machine Learning: A Global perspective with Relevance to Low-Resource Settings","Mulomba Mukendi Christian, Hyebong Choi","Machine Learning (cs.LG)","Air pollution stands as the fourth leading cause of death globally. While extensive research has been conducted in this domain, most approaches rely on large datasets when it comes to prediction. This limits their applicability in low-resource settings though more vulnerable. This study addresses this gap by proposing a novel machine learning approach for accurate air quality prediction using two months of air quality data. By leveraging the World Weather Repository, the meteorological, air pollutant, and Air Quality Index features from 197 capital cities were considered to predict air quality for the next day. The evaluation of several machine learning models demonstrates the effectiveness of the Random Forest algorithm in generating reliable predictions, particularly when applied to classification rather than regression, approach which enhances the model's generalizability by 42%, achieving a cross-validation score of 0.38 for regression and 0.89 for classification. To instill confidence in the predictions, interpretable machine learning was considered. Finally, a cost estimation comparing the implementation of this solution in high-resource and low-resource settings is presented including a tentative of technology licensing business model. This research highlights the potential for resource-limited countries to independently predict air quality while awaiting larger datasets to further refine their predictions.","Tue, 9 Jan 2024 05:52:02 UTC (427 KB)"
"84","The TNG50-SKIRT Atlas: post-processing methodology and first data release","Maarten Baes, Andrea Gebek, Ana Trcka, Peter Camps, Arjen van der Wel, Abdurro'uf, Nick Andreadis, Sena Bokona Tulu, Abdissa Tassama Emana, Jacopo Fritz, Raymond Kelly, Inja Kovacic, Antonio La Marca, Marco Martorano, Aleksandr Mosenkov, Angelos Nersesian, Vicente Rodriguez-Gomez, Crescenzo Tortora, Bert Vander Meulen, Lingyu Wang","Astrophysics of Galaxies (astro-ph.GA)","Galaxy morphology is a powerful diagnostic to assess the realism of cosmological hydrodynamical simulations. Determining the morphology of simulated galaxies requires the generation of synthetic images through 3D radiative transfer post-processing that properly accounts for different stellar populations and interstellar dust attenuation. We use the SKIRT code to generate the TNG50-SKIRT Atlas, a synthetic UV to near-infrared broadband image atlas for a complete stellar-mass selected sample of 1154 galaxies extracted from the TNG50 cosmological simulation at $z=0$. The images have a high spatial resolution (100 pc) and a wide field of view (160 kpc). In addition to the dust-obscured images, we also release dust-free images and physical parameter property maps with matching characteristics. As a sanity check and preview application we discuss the UVJ diagram of the galaxy sample. We investigate the effect of dust attenuation on the UVJ diagram and find that it affects both the star-forming and the quiescent galaxy populations. The quiescent galaxy region is polluted by younger and star-forming highly inclined galaxies, while dust attenuation induces a separation in inclination of the star-forming galaxy population, with low-inclination galaxies remaining at the blue side of the diagram and high-inclination galaxies systematically moving towards the red side. This image atlas can be used for a variety of other applications, including galaxy morphology studies and the investigation of local scaling relations. We publicly release the images and parameter maps, and we invite the community to use them.","Mon, 8 Jan 2024 20:27:51 UTC (5,255 KB)"
"85","Forecasting hospital discharges for respiratory conditions in Costa Rica using climate and pollution data","Shu Wei Chou-Chen, Luis A. Barboza","Applications (stat.AP)","Respiratory diseases represent one of the most significant economic burdens on healthcare systems worldwide. The variation in the increasing number of cases depends greatly on climatic seasonal effects, socioeconomic factors, and pollution. Therefore, understanding these variations and obtaining precise forecasts allows health authorities to make correct decisions regarding the allocation of limited economic and human resources. This study aims to model and forecast weekly hospitalizations due to respiratory conditions in seven regional hospitals in Costa Rica using four statistical learning techniques (Random Forest, XGboost, Facebook's Prophet forecasting model, and an ensemble method combining the above methods), along with 22 climate change indices and aerosol optical depth as an indicator of pollution. Models are trained using data from 2000 to 2018 and are evaluated using data from 2019 as testing data. Reliable predictions are obtained for each of the seven regional hospitals","Sat, 6 Jan 2024 00:47:44 UTC (194 KB)"
"86","Carbon envelopes around merging galaxies at z ~ 4.5","C. Di Cesare, M. Ginolfi, L. Graziani, R. Schneider, M. Romano, G. Popping","Astrophysics of Galaxies (astro-ph.GA)","Galaxies evolve through a dynamic exchange of material with their immediate surrounding environment, the circumgalactic medium (CGM). Understanding the physics of gas flows and the nature of the CGM is thus fundamental to studying galaxy evolution, especially at $4 \leq z \leq 6$ when galaxies rapidly assembled their masses and reached their chemical maturity. Galactic outflows are predicted to enrich the CGM with metals, although gas stripping in systems undergoing a major merger has also been suggested to play a role. In this work, we explore the metal enrichment of the medium around merging galaxies at $z\sim4.5$, observed by the ALMA Large Program to INvestigate [CII] at Early times (ALPINE) survey. To do so, we study the nature of the [CII]158 $\mu$m emission in the CGM around these systems, using simulations to help disentangle the mechanisms contributing to the CGM metal pollution. By adopting an updated classification of major merger systems in the ALPINE survey, we select and analyse merging galaxies whose components can be spatially and/or spectrally resolved in a robust way. In this way, we can distinguish between the [CII] emission coming from the single components of the system and that coming from the system as a whole. We also make use of the dustyGadget cosmological simulation to select synthetic analogues of observed galaxies and guide the interpretation of the observational results. We find a large diffuse [CII] envelope (> 20 kpc) embedding all the merging systems, with around 50% of the total [CII] emission coming from the medium between the galaxies. Using predictions from dustyGadget we suggest that this emission has a two-fold nature: it is due to both dynamical interactions between the galaxies which result in tidal stripped gas and the presence of star-forming satellites (currently unresolved by ALMA) that enrich the medium with heavy elements.","Fri, 5 Jan 2024 19:00:02 UTC (2,162 KB)[v2] Tue, 9 Jan 2024 11:14:27 UTC (2,140 KB)"
"87","Penalized Distributed Lag Interaction Model: Air Pollution, Birth Weight and Neighborhood Vulnerability","Danielle Demateis, Kayleigh P. Keller, David Rojas-Rueda, Marianthi-Anna Kioumourtzoglou, Ander Wilson","Methodology (stat.ME)","Maternal exposure to air pollution during pregnancy has a substantial public health impact. Epidemiological evidence supports an association between maternal exposure to air pollution and low birth weight. A popular method to estimate this association while identifying windows of susceptibility is a distributed lag model (DLM), which regresses an outcome onto exposure history observed at multiple time points. However, the standard DLM framework does not allow for modification of the association between repeated measures of exposure and the outcome. We propose a distributed lag interaction model that allows modification of the exposure-time-response associations across individuals by including an interaction between a continuous modifying variable and the exposure history. Our model framework is an extension of a standard DLM that uses a cross-basis, or bi-dimensional function space, to simultaneously describe both the modification of the exposure-response relationship and the temporal structure of the exposure data. Through simulations, we showed that our model with penalization out-performs a standard DLM when the true exposure-time-response associations vary by a continuous variable. Using a Colorado, USA birth cohort, we estimated the association between birth weight and ambient fine particulate matter air pollution modified by an area-level metric of health and social adversities from Colorado EnviroScreen.","Fri, 5 Jan 2024 18:30:45 UTC (422 KB)[v2] Wed, 21 Feb 2024 17:38:53 UTC (422 KB)"
"88","Interpretable Time Series Models for Wastewater Modeling in Combined Sewer Overflows","Teodor Chiaburu, Felix Biessmann","Machine Learning (cs.LG)","Climate change poses increasingly complex challenges to our society. Extreme weather events such as floods, wild fires or droughts are becoming more frequent, spontaneous and difficult to foresee or counteract. In this work we specifically address the problem of sewage water polluting surface water bodies after spilling over from rain tanks as a consequence of heavy rain events. We investigate to what extent state-of-the-art interpretable time series models can help predict such critical water level points, so that the excess can promptly be redistributed across the sewage network. Our results indicate that modern time series models can contribute to better waste water management and prevention of environmental pollution from sewer systems. All the code and experiments can be found in our repository: this https URL.","Thu, 4 Jan 2024 11:48:27 UTC (4,973 KB)"
"89","Isolation and Characterisation of Polypropylene Microplastic-Utilising Bacterium from the Antarctic Soil","Nur Ain Shuhada Ab Razak, Syahir Habib, Mohd Yunus Abd Shukor, Siti Aisyah Alias, Jerzy Smykla, Nur Adeela Yasid","Biomolecules (q-bio.BM)","Despite its remoteness from other continents, the Antarctic region cannot escape the aftermath of human activities as it is highly influenced by anthropogenic impacts that occur both in the regional and global context. Contamination by microplastics, mostly caused by the improper disposal of plastic waste, is widely recognised as a serious environmental threat due to its ubiquity. In recent years, most researchers have focused on microplastic pollution in the marine ecosystem of Antarctica, while pollution in the terrestrial environment continues to be neglected. This study was conducted to investigate the ability of Antarctic soil bacteria to use polypropylene (PP) microplastics as the sole carbon source. Bushnell Haas (BH) medium inoculated with bacteria and supplemented PP-microplastics as the sole carbon source was used in the utilisation test. In this study, the growth response of Dermacoccus sp. strain AYDL3 was assessed after exposure to PP-microplastics in a basal medium for 40 days. The weight reduction of the polymer was determined to further support the growth response. The highest and lowest weight loss percentages were observed on day 20 (23.0%) and day 10 (7.75%), respectively. Fourier transforms infrared (FTIR) spectroscopy and scanning electron microscopy (SEM) analyses were used to confirm the utilisation of PP-microplastics by strain AYDL3. Results indicate that the soil bacteria possess a mechanism for breaking down microplastics allowing them to utilise plastics as energy sources without any pre-treatment. This emphasises the significance of these soil bacteria to adapt and subsequently manage the plastic fragments in the soil in the future.","Thu, 4 Jan 2024 06:54:56 UTC (791 KB)"
"90","Reconstructing almost all of a point set in $\mathbb{R}^d$ from randomly revealed pairwise distances","Douglas Barnes, Jan Petr, Julien Portier, Benedict Randall Shaw, Alan Sergeev","Combinatorics (math.CO)","Let $V$ be a set of $n$ points in $\mathbb{R}^d$, and suppose that the distance between each pair of points is revealed independently with probability $p$. We study when this information is sufficient to reconstruct large subsets of $V$, up to isometry. Strong results for $d=1$ have been obtained by Girão, Illingworth, Michel, Powierski, and Scott. In this paper, we investigate higher dimensions, and show that if $p>n^{-2/(d+4)}$, then we can reconstruct almost all of $V$ up to isometry, with high probability. We do this by relating it to a polluted graph bootstrap percolation result, for which we adapt the methods of Balogh, Bollobás, and Morris.","Wed, 3 Jan 2024 18:43:33 UTC (25 KB)"
"91","Applications of machine learning and IoT for Outdoor Air Pollution Monitoring and Prediction: A Systematic Literature Review","Ihsane Gryech, Chaimae Assad, Mounir Ghogho, Abdellatif Kobbane","Machine Learning (cs.LG)","According to the World Health Organization (WHO), air pollution kills seven million people every year. Outdoor air pollution is a major environmental health problem affecting low, middle, and high-income countries. In the past few years, the research community has explored IoT-enabled machine learning applications for outdoor air pollution prediction. The general objective of this paper is to systematically review applications of machine learning and Internet of Things (IoT) for outdoor air pollution prediction and the combination of monitoring sensors and input features used. Two research questions were formulated for this review. 1086 publications were collected in the initial PRISMA stage. After the screening and eligibility phases, 37 papers were selected for inclusion. A cost-based analysis was conducted on the findings to highlight high-cost monitoring, low-cost IoT and hybrid enabled prediction. Three methods of prediction were identified: time series, feature-based and spatio-temporal. This review's findings identify major limitations in applications found in the literature, namely lack of coverage, lack of diversity of data and lack of inclusion of context-specific features. This review proposes directions for future research and underlines practical implications in healthcare, urban planning, global synergy and smart cities.","Wed, 3 Jan 2024 15:36:33 UTC (1,417 KB)"
"92","Impact of DG and survey of pricing mechanism around different states in USA","Mohsen Abedi","Systems and Control (eess.SY)","In this paper, we investigate the impact of the Distributed generation (DG) on Power Transmission Grid and pricing strategy for different geographical locations in different states, generally distributed generation (DG) on distribution feeders is known to have an impact on voltage regulation and power quality. A DG might provide voltage and power support in some cases, but most cases cause short term instability voltage, depending on the several variables, including relative DG size and location, power network and load character, so This paper also addressing to the following questions: the different between DG and conventional power station? What are penetration levels of different DG to the power grid and compliances to the IEEE relevant standards, discusses unexpected issues with a special emphasis on power protection coordination problems, potential advantage and disadvantage to using DG while Distributed Generation (DG) allows collection of energy from many sources and may provide lower environmental pollution then we will discuss what would be the main Factors affecting Electricity Prices of DG units at different states.","Tue, 2 Jan 2024 20:55:43 UTC (655 KB)"
"93","A scalable two-stage Bayesian approach accounting for exposure measurement error in environmental epidemiology","Changwoo J. Lee, Elaine Symanski, Amal Rammah, Dong Hun Kang, Philip K. Hopke, Eun Sug Park","Methodology (stat.ME)","Accounting for exposure measurement errors has been recognized as a crucial problem in environmental epidemiology for over two decades. Bayesian hierarchical models offer a coherent probabilistic framework for evaluating associations between environmental exposures and health effects, which take into account exposure measurement errors introduced by uncertainty in the estimated exposure as well as spatial misalignment between the exposure and health outcome data. While two-stage Bayesian analyses are often regarded as a good alternative to fully Bayesian analyses when joint estimation is not feasible, there has been minimal research on how to properly propagate uncertainty from the first-stage exposure model to the second-stage health model, especially in the case of a large number of participant locations along with spatially correlated exposures. We propose a scalable two-stage Bayesian approach, called a sparse multivariate normal (sparse MVN) prior approach, based on the Vecchia approximation for assessing associations between exposure and health outcomes in environmental epidemiology. We compare its performance with existing approaches through simulation. Our sparse MVN prior approach shows comparable performance with the fully Bayesian approach, which is a gold standard but is impossible to implement in some cases. We investigate the association between source-specific exposures and pollutant (nitrogen dioxide (NO$_2$))-specific exposures and birth outcomes for 2012 in Harris County, Texas, using several approaches, including the newly developed method.","Mon, 1 Jan 2024 02:07:26 UTC (2,798 KB)[v2] Sun, 14 Jan 2024 03:29:07 UTC (2,656 KB)"
"94","AClassiHonk: A System Framework to Annotate and Classify Vehicular Honk from Road Traffic","Biswajit Maitya, Abdul Alima, Popuri Sree Rama Charana, Amlan Chakrabartib, Subrata Nandia, Sanghita Bhattacharjeea","Social and Information Networks (cs.SI)","Recent studies emphasize that vehicular honking contributes to over 50% of noise pollution in developing urban and suburban areas. Frequent honking negatively impacts health, road safety, and the environment. Recognizing and classifying different vehicle honks could offer valuable insights into environmental noise pollution. Existing research on outdoor sound classification and honk detection lacks the ability to classify honks based on vehicle types, limiting contextual information inference for locations, areas, or traffic. Therefore, it becomes imperative to design a system that can detect and classify honks of different types of vehicles from which we can infer some contextual information. In this paper, we have developed a novel framework AClassiHonk that performs raw vehicular honk sensing, data labeling and classifies the honk into three major groups, i.e., light-weight vehicles, medium-weight vehicles, and heavy-weight vehicles. We collected the raw audio samples of different vehicular honking based on spatio-temporal characteristics and converted them into spectrogram images. We have proposed a deep learning-based Multi-label Autoencoder model (MAE) for automated labeling of the unlabeled data samples, which provides 97.64% accuracy in contrast to existing deep learning-based data labeling methods. Further, we have used various pre-trained models, namely Inception V3, ResNet50, MobileNet, ShuffleNet, and proposed an Ensembled Transfer Learning model (EnTL) for vehicle honks classification and performed comparative analysis. Results reveal that EnTL exhibits the best performance compared to pre-trained models and achieves 96.72% accuracy in our dataset. In addition, we have identified a context of a location based on these classified honk signatures in a city.","Sat, 30 Dec 2023 06:42:47 UTC (2,593 KB)"
"95","Combined Explanation of LHC Multi-Lepton, Di-Photon and Top-Quark Excesses","Guglielmo Coloretti, Andreas Crivellin, Bruce Mellado","High Energy Physics - Phenomenology (hep-ph)","The LHC analyses of processes containing two or more leptons and missing energy, possibly in association with b-jets, show strong tensions with the Standard Model predictions and are known as multi-lepton anomalies. In particular, top-quark differential distributions point towards the associated production of new Higgs bosons decaying into bottom quarks and W bosons ($>5\sigma$) with masses consistent with the di-photon excesses at 95GeV and 152GeV ($3.8\sigma$ and $4.9\sigma$, respectively). Furthermore, CMS found indications for resonant top-quark pair production at 400GeV ($3.5\sigma$) and both ATLAS and CMS reported elevated four-top and ttW cross-sections. In this article, we propose a combined explanation of these excesses by supplementing the SM Higgs with a second scalar doublet, a real scalar singlet ($S$) and a Higgs triplet with $Y=0$ ($\Delta$); the $\Delta$2HDMS. We fix the masses of the neutral triplet-like and the singlet-like scalars by the di-photon excesses, i.e. $m_{\Delta^0}=152$GeV and $m_S=95$GeV, respectively. Here, H, the CP-even component of the second doublet, is produced via gluon fusion from a top-loop and decays dominantly to $S+\Delta^0$ whose subsequent decays to WW and bb explain the differential top-quark distributions for $\sigma(pp\to H\to S\Delta^0)\approx6$pb. Fixing the top-Yukawa accordingly, the CP-odd Higgs boson A turns out to have the right production cross-section to account for the resonant top-pair excess at 400GeV, while the top-associated production of H and A results in new physics pollution of Standard Model ttW and four-top cross sections, as preferred by the data. Furthermore, a positive shift in the W mass is naturally induced by the vacuum expectation value of the triplet and we show that the most relevant signal strengths of the 152GeV boson are compatible with the process $pp\to H\to \Delta^0S$ if S is allowed to decay invisibly.","Thu, 28 Dec 2023 19:00:00 UTC (2,193 KB)"
"96","Towards a Microservice-based Middleware for a Multi-hazard Early Warning System","A Akanbi","Distributed, Parallel, and Cluster Computing (cs.DC)","Environmental hazards like water and air pollution, extreme weather, or chemical exposures can affect human health in a number of ways, and it is a persistent apprehension in communities surrounded by mining operations. The application of modern technologies in the environmental monitoring of these Human-made hazards is critical, because while not immediately health-threatening may turn out detrimental with unwanted negative effects. Enabling technologies needed to realise this concept is multifaceted and most especially involves deploying interconnected Internet of Things (IoT) sensors, existing legacy systems, enterprise networks, multi layered software architecture (middleware), and event processing engines, amongst others. Currently, the integration of several early warning systems has inherent challenges, mostly due to the heterogeneity of components. This paper proposes transversal microservice-based middleware aiming at increasing data integration, interoperability, scalability, high availability, and reusability of adopted systems using a container orchestration framework for a multi-hazard early warning system. Devised within the scope of the ICMHEWS project, the proposed platform aims at improving known challenges.","Sat, 23 Dec 2023 18:50:58 UTC (609 KB)"
"97","GreenScan: Towards large-scale monitoring the health of urban trees using mobile sensing","Akshit Gupta, Simone Mora, Fan Zhang, Martine Rutten, R. Venkatesha Prasad, Carlo Ratti","Systems and Control (eess.SY)","Healthy urban greenery is a fundamental asset to mitigate climate change phenomenons such as extreme heat and air pollution. However, urban trees are often affected by abiotic and biotic stressors that hamper their functionality, and whenever not timely managed, even their survival. While current visual or instrumented inspection techniques can help take effective measures, they often require a high amount of human labor, making frequent assessments infeasible at a city-wide scale. In this paper, we present GreenScan, a ground-based sensing system designed to provide health assessment of urban trees at high spatio-temporal resolutions, with low costs. The system utilises thermal and multi-spectral imaging sensors fused using custom computer vision models in order to estimate two tree health indexes. The evaluation of the system was performed through data collection experiments in Cambridge, USA. Overall, this approach illustrates the potential of autonomous mobile ground-based tree health monitoring on city-wide scales at high temporal resolutions with low-costs.","Fri, 22 Dec 2023 01:36:39 UTC (17,466 KB)"
"98","Implied CO$_{\textbf{2}}$-Price and Interest Rate of Carbon","Christian P. Fries","Mathematical Finance (q-fin.MF)","By its nature, the so-called social cost of carbon (SCC(t)) will likely not cover the cost induced by climate change (damage cost and abatement cost) if it is used as a CO$_2$-price. It is a marginal price only. We define an implied CO$_2$-price that covers the climate change-induced costs. The price can be interpreted as a \textit{polluter pays principle}. A numerical analysis using a classical DICE model reveals that the cost-implied CO$_2$ price is around 500 \$/tCO$_2$, while the corresponding price associated with the SCC is about 50 \$/tCO$_2$. In addition, we define the internal rate of return of carbon abatement and calculate it for the classical DICE model. This rate is much higher than the model's discount rate, which may suggest the advantage of financing abatement by loans.","Wed, 20 Dec 2023 21:55:26 UTC (32 KB)[v2] Sat, 23 Dec 2023 12:08:36 UTC (75 KB)[v3] Thu, 4 Jan 2024 09:55:53 UTC (83 KB)[v4] Sun, 14 Jan 2024 22:01:09 UTC (84 KB)[v5] Mon, 29 Jan 2024 07:15:07 UTC (128 KB)"
"99","A 3D super-resolution of wind fields via physics-informed pixel-wise self-attention generative adversarial network","Takuya Kurihana, Kyongmin Yeo, Daniela Szwarcman, Bruce Elmegreen, Karthik Mukkavilli, Johannes Schmude, Levente Klein","Atmospheric and Oceanic Physics (physics.ao-ph)","To mitigate global warming, greenhouse gas sources need to be resolved at a high spatial resolution and monitored in time to ensure the reduction and ultimately elimination of the pollution source. However, the complexity of computation in resolving high-resolution wind fields left the simulations impractical to test different time lengths and model configurations. This study presents a preliminary development of a physics-informed super-resolution (SR) generative adversarial network (GAN) that super-resolves the three-dimensional (3D) low-resolution wind fields by upscaling x9 times. We develop a pixel-wise self-attention (PWA) module that learns 3D weather dynamics via a self-attention computation followed by a 2D convolution. We also employ a loss term that regularizes the self-attention map during pretraining, capturing the vertical convection process from input wind data. The new PWA SR-GAN shows the high-fidelity super-resolved 3D wind data, learns a wind structure at the high-frequency domain, and reduces the computational cost of a high-resolution wind simulation by x89.7 times.","Wed, 20 Dec 2023 17:28:21 UTC (362 KB)"
"100","Long term variability of light-pollution in Bisei Town","Ryosuke Itoh, Syota Maeno","Instrumentation and Methods for Astrophysics (astro-ph.IM)","Bisei town, located in the west part of Japan, is known as a place where the local community protects its beautiful night sky from light pollution through its unique ordinances and the efforts of the local residents. It is also important to monitor in the quantity and quality of light pollution for precise measurement of astronomical observations. The fluorescent lamps in the city were gradually replaced with light emitting diode (LED) lamps. In order to investigate how much light pollution is affecting astronomical observation, we analyzed the archival photometric and spectroscopic data taken by the 101cm telescope that has been installed at Bisei Astronomical Observatory (BAO) since 2006. As a result, we found that there is no significant variability in sky brightness in optical bands, but from spectroscopic observation, we observed a blue humps around 4500 Åoriginating from LED lights from 2017 to 2023. The brightness of light pollution observed at BAO is not varied but the origin of light has gradually changed from fluorescent lamps to LED lamps.","Wed, 20 Dec 2023 07:28:57 UTC (290 KB)"
"101","Modelling and characterization of fine Particulate Matter dynamics in Bujumbura using low cost sensors","Egide Ndamuzi, Rachel Akimana, Paterne Gahungu, Elie Bimenyimana","Machine Learning (stat.ML)","Air pollution is a result of multiple sources including both natural and anthropogenic activities. The rapid urbanization of the cities such as Bujumbura economic capital of Burundi, is one of these factors. The very first characterization of the spatio-temporal variability of PM2.5 in Bujumbura and the forecasting of PM2.5 concentration have been conducted in this paper using data collected during a year, from august 2022 to august 2023, by low cost sensors installed in Bujumbura city. For each commune, an hourly, daily and seasonal analysis were carried out and the results showed that the mass concentrations of PM2.5 in the three municipalities differ from one commune to another. The average hourly and annual PM2.5 concentrations exceed the World Health Organization standards. The range is between 28.3 and 35.0 microgram/m3 . In order to make prediction of PM2.5 concentration, an investigation of RNN with Long Short Term Memory (LSTM) has been undertaken.","Tue, 19 Dec 2023 09:51:02 UTC (1,393 KB)"
"102","Urban Generative Intelligence (UGI): A Foundational Platform for Agents in Embodied City Environment","Fengli Xu, Jun Zhang, Chen Gao, Jie Feng, Yong Li","Artificial Intelligence (cs.AI)","Urban environments, characterized by their complex, multi-layered networks encompassing physical, social, economic, and environmental dimensions, face significant challenges in the face of rapid urbanization. These challenges, ranging from traffic congestion and pollution to social inequality, call for advanced technological interventions. Recent developments in big data, artificial intelligence, urban computing, and digital twins have laid the groundwork for sophisticated city modeling and simulation. However, a gap persists between these technological capabilities and their practical implementation in addressing urban challenges in an systemic-intelligent way. This paper proposes Urban Generative Intelligence (UGI), a novel foundational platform integrating Large Language Models (LLMs) into urban systems to foster a new paradigm of urban intelligence. UGI leverages CityGPT, a foundation model trained on city-specific multi-source data, to create embodied agents for various urban tasks. These agents, operating within a textual urban environment emulated by city simulator and urban knowledge graph, interact through a natural language interface, offering an open platform for diverse intelligent and embodied agent development. This platform not only addresses specific urban issues but also simulates complex urban systems, providing a multidisciplinary approach to understand and manage urban complexity. This work signifies a transformative step in city science and urban intelligence, harnessing the power of LLMs to unravel and address the intricate dynamics of urban systems. The code repository with demonstrations will soon be released here this https URL.","Tue, 19 Dec 2023 03:12:13 UTC (2,493 KB)"
